Human	Mock	SeV_0.1	SeV_1.0	SeV_10	HSV1_0.1	HSV1_1.0	HSV1_10
IFNB1	0.00055	0.00845	0.08387	0.10018	0.04601	0.11776	0.04006
EIF2AK2	0.03383	1.15897	1.18718	0.93727	1.62202	1.48299	1.41209
DDX58	0.07704	2.31809	2.50161	1.87701	3.39618	3.2048	3.01796
IL1B	0.00235	0.00236	0.00146	0.01609	0.00403	0.00334	0.00174
IL6	1E-05	0.00199	0.00538	0.01561	0.01305	0.01192	0.00444
SeV_P	NA	0.30236	2.39878	17.75239	NA	NA	NA
SeV_N	NA	0.25764	1.66076	12.79044	NA	NA	NA
HSV1_FE_ICP8	NA	NA	NA	NA	0.01433	0.03084	0.34977
HSV1_FL_UL49_VP22	NA	NA	NA	NA	0.02727	0.06186	0.69214
HSV1_F_IE_ICP27	NA	NA	NA	NA	0.00596	0.01417	0.175
