Mm	Mock	SeV_0.1	SeV_1.0	SeV_10	HSV1_0.1	HSV1_1.0	HSV1_10
IFNB1	0.00135	0.00114	0.00532	0.04924	0.00252	0.00336	0.00259
EIF2AK2	0.07078	0.18872	0.75651	0.49813	0.48572	0.47961	0.388
DDX58	0.0705	0.19234	0.97103	0.55601	0.58059	0.49687	0.41623
IL1B	0.0076	0.01186	0.00991	0.01232	0.00417	0.00387	0.00785
IL6	0.00019	0.00012	0.00019	0.00034	8E-05	0.00016	3E-05
SeV_P	NA	0.10259	0.6571	7.77268	NA	NA	NA
SeV_N	NA	0.09758	0.57806	4.91432	NA	NA	NA
HSV1_FE_ICP8	NA	NA	NA	NA	0.00013	0.00256	0.0298
HSV1_FL_UL49_VP22	NA	NA	NA	NA	0.00044	0.00626	0.07228
HSV1_F_IE_ICP27	NA	NA	NA	NA	7E-05	0.00121	0.01344
