Ra	Mock	SeV_0.1	SeV_1.0	SeV_10	HSV1_0.1	HSV1_1.0	HSV1_10
IFNB1	0.00965	0.01061	0.11887	0.39676	0.20258	0.01267	0.06385
EIF2AK2	0.11062	0.18638	3.02621	1.66239	2.65161	1.49941	1.75383
DDX58	0.02929	0.02127	1.66136	0.93209	1.30892	0.94352	0.81267
IL1B	0.07279	0.0821	0.05186	0.04763	0.00942	0.02327	0.03934
IL6	0.02349	0.0363	0.02861	0.04678	0.01404	0.01743	0.02059
SeV_P	NA	3.29364	33.81256	166.02413	NA	NA	NA
SeV_N	NA	2.33525	21.21631	94.50637	NA	NA	NA
HSV1_FE_ICP8	NA	NA	NA	NA	0.02499	0.04559	0.66659
HSV1_FL_UL49_VP22	NA	NA	NA	NA	0.03597	0.14047	2.40878
HSV1_F_IE_ICP27	NA	NA	NA	NA	0.02565	0.07761	0.84841
